index,Study Name,Study Short Description,Study source/institution(s),Publication unique ID (PMID),Publish Date,Study Size,Study Type,Analysis Type,Country of Study,Full Study PDF (DOI number),Treatment Site,T,N,M,Indications/Risk Group NCCN,Primary Site,Metastasis,No. of Nodes,Staging System,Histology/Pathology,Margin,PSA,Gleason,Recurrence,Size in Volume,Size in Dimension,Location,Clinical Risk Factors,Performance Status,Age Range,Weight Range,Height Range,Gender Ratio (Male/Female),Race,Treatment Intent,Retreat,Prior RT,Surgery,Chemtherapy,Hormone,Immunotherapy,Androgen Deprivation (ADT),Regimen I +,Base Dose (Gy) / Fractions,Boost Dose (Gy) / Modality,Other Therapies,Median Follow-up (months),Local Control (LC),Overall Survival (OS),PFS,bPFS,DFS,FFS,MFS,CSS,DMFS,(Biochemical Recurrence) BCR,Median Follow-up (months),Toxicity System,Acute,G1+,G2+,G3+,G4+,G5,Regimen II +,Base Dose (Gy) / Fractions,Boost Dose (Gy) / Modality,Other Therapies,Median Follow-up (months),Local Control (LC),Overall Survival (OS),PFS,bPFS,DFS,FFS,MFS,CSS,DMFS,Median Follow-up (months),Toxicity System,Acute,G1+,G2+,G3+,G4+,G5,Modality,Planning,Delivery,Imaging,Setup,Key Conclusion,target_dose_constraints,OAR_constraints
1,GETUG AFU 16,Salvage +- 6 mo ADT,GELA,31629656,,743,,,,,Prostate,2-4a,0,0,,Prostate,No,,,Carcinoma,,0.2-2.0,0.2-2.0,Yes,,,,,,,,,,,Salvage,,,,,,,Yes,,66 Gy/33,,,112,,85%/120 mo,49%/120 mo,,,,69%/120 mo,,,,112,,,,,,,,,66 Gy/33,,ADT,112,,86%/120 mo,64%/120 mo,,,,75%/120 mo,,,112,,,,,,,,Photon,3D,Linac,,none,,,
2,RTOG 9601,Salvage +- 24 mo ADT,RTOG,28146658,,760,,,,,Prostate,2-3,0,0,,Prostate,No,,,Carcinoma,,0.2-4.0,0.2-4.0,Yes,,,,,,,,,,,Salvage ,,,,,,,Yes,,64.8 Gy/36,,,156,,,,,,,71.3%/144 mo,,,,156,,11%/Gynecomastia,,,,,,,64.8 Gy/36,,ADT,156,,,,,,,76.3%/144 mo,,,156,,69.7%/Gynecomastia,,,,,,Photon,3D,Linac,,none,,,
3,ASCENDE-RT,Brachy dose escalation,BCCA,28262473,,398,,,,,Prostate/Pelvis,1c-3a,0,0,Intermediate/High,Prostate,No,,,Carcinoma,,2.4-40,2.4-40,No,,,,,,,,,,,,,,,,,,Yes,,46 Gy/23 Pelvis,32 Gy/Photon,,78,,,,,,,,,,,78,,,,,,,,,46 Gy/23 Pelvis,115 Gy/LDR,,78,,,,,,,,,,78,,,,,,,,Photon / brachytherapy,3D / brachytherapy,Linac and brachytherapy,,none,,,
4,HYPO-RT-PC,Ultra-Hypofractionation,Scandinavian,312272373,6/18/2019,1200,Trials: phase III,Randomized,Sweden/Denmark,"http://dx.doi.org/10.1016/
S0140-6736(19)31131-6",Prostate,1c-3a,0,0,Intermediate/High,Prostate,No,0,,Carcinoma,,0-20,5-9,No,,,,,0 - 2 (WHO),64 -72,,,100,,,,,,,,,No,,42.7 Gy/7 Prostate only,,No,60,,,,,,84%/ 5y,,,,,60,RTOG,28%/Urinary/acute,,6%/Urinary/1y;5%/Urinary/5y;1%/Bowel/5y,,,,,78 Gy/39 Prostate only,,No,60,,,,,,84%/5y,,,,60,RTOG,23%/Urinary/acute,,2%/Urinary/1y;5%/Urinary/5y;4%/Bowel/5y,,,,Photon,3D/IMRT/VMAT/SBRT,Linac,,Fiducial/BeamCath,,,
5,PCS IV,ADT duration high risk,Canada,29980331,,630,,,,,Prostate/Pelvis,3-4,0,0,High,Prostate,No,,,Carcinoma,,0.6-252,0.6-252,No,,,,,,,,,,,,,,,,,,Yes,,44 Gy/22 Pelvis,26 Gy/Photon,,112,,86%/5y 18 mo; 91%/5y 36 mo,,,39%/10y 18 mo; 45%/10y 36 mo,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Photon,3D,Linac,,,,,
6,PCS III,ADT duration ,Canada,33279855,,600,,,,,Prostate,1c-2c,0,0,Intermediate,Prostate,No,,,Carcinoma,,6-7,10-20,No,,,,,,,,,,,,,,,,,,Yes,,70 Gy/35 prostate + 6mo ADT,,ADT,136,,69%/10y,,84%/10y,,,,,,,136,,8.5%/GI/Acute;30%/GU/Acute,,5.3%/GI/Late,,,,,76 Gy/38 prstate + 6 moADT,,ADT,136,,74%/10y;75%/10y w/ADT,,70%/10y; 87%/10y w/ADT,,,,,,136,,,,16%/GI/Late,,,,Photon,3D,Linac,,,,,
7,CHHip,Conventional vs Hypo,UK,27339115,6/20/2016,3216,Trials: phase III,Randomized/Controlled,UK,"http://dx.doi.org/10.1016/
S1470-2045(16)30102-4",Prostate,1b-3a,0,0,Low/Intermediate/High,Prostate,No,<30%,,Carcinoma,,<30,6-8,,,,,,0-1 (WHO),44-85,,,,,,No,No,No,,,,Yes,,74 Gy/37,,ADT,62.4,,,,88.3%/5y,,,,,,,,RTOG,,,13.7%/Bowel/5y;9.1%/Bladder/5y,,,,60 Gy/20 or 57 Gy/19,,,ADT,62.4,,,,90.6%/5y or 85.9%/5y,,,,,,,RTOG,,,11.9%/Bowel/5y;11.7%/Bladder/5y,,,,Photon,IMRT,,,,60 Gy in 20 fractions is non-inferior to 74 Gy in 37 fractions,,
8,CHHip,Conventional vs Hypo,UK,27751451,10/28/2015,2100,Trials: phase III,Randomized/Controlled,UK,10.1016/j.juro.2016.08.067,Prostate,1b-3a,0,0,Low/Intermediate/High,Prostate,No,<30%,,Carcinoma,,<30,6-8,,,,,,0-1 (WHO),44-85,,,,,,No,No,No,,,,Yes,,74 Gy/37,,ADT,,,,,,,,,,,,50,PRO,,6%/QoL/2y,5%/QoL/2y,<1%/QoL/2y,,,60 Gy/20 or 57 Gy/19,,,ADT,,,,,90.6%/5y or 85.9%/5y,,,,,,50,PRO,,8%/QoL/2y,6%/QoL/2y,<1%/QoL/2y,,,Photon,IMRT,,,,Patient-reported bowel bother was low and similar,,
9,NCICPR3 ADT +- RT,Locally Advanced Prostate Cancer,NCIC Clinical Trials Group,25691677,2/17/2015,1205,Trials,Randomized/Controlled,USA/Canada,10.1200/JCO.2014.57.7510,Prostate,2-4,0-x,0,,Prostate,No,,,Carcinoma,,1-50+,1-10,,,,,,0 - 2 (ECOG),46.3-80.3,,,100,,,,,,,Yes,,,,64-69 Gy/35-39,,ADT,96,,55%/10y,74%/10y,63%/10y,,,,,,,,,,18.5%/Bowel/2y,,0.3%/Diarrhea/2y,,,,0,,ADT,96,,49%/10y,46%/10y,27%/10y,,,,,,,,,5.9%/Bowel/2y,,,,,Photon,3D,,,,,,
10,JAMA G9-10,Surgery vs EBRT or EBRT + BT,Multi-center,29509865,3/6/2018,1809,Retrospective,,USA,10.1001/jama.2018.0587,Prostate,1c-4,0,0,,Prostate,No,16.9,,Carcinoma,,0.1-525.5,9-10,No,,,,,,39-98,,,100,,Curative,No,No,Yes,No,,No,Yes,,³78 Gy,LDR/HDR,ADT,60,,90%,,,,,,97%,92%,,,,,,,,,,,<70 Gy,No LDR/HDR,ADT,,,82%,,,,,,87%,76%,,,,,,,,,,,,,,EBRT+BT with ADT was associated with significantly better outcomes than EBRT or surgery alone,,
